entity.n.01	18079	that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
physical_entity.n.01	11377	an entity that has physical existence
object.n.01	6732	a tangible and visible entity; an entity that can cast a shadow
abstraction.n.06	6696	a general concept formed by extracting common features from specific examples
whole.n.02	6320	an assemblage of parts that is regarded as a single entity
causal_agent.n.01	3552	any entity that produces an effect or is responsible for events or results
living_thing.n.01	3544	a living (or once living) entity
organism.n.01	3542	a living thing that has (or can develop) the ability to act or function independently
person.n.01	3369	a human being
artifact.n.01	2638	a man-made object taken as a whole
attribute.n.02	2128	an abstraction belonging to or characteristic of an entity
communication.n.02	1691	something that is communicated by or to or between people or groups
instrumentality.n.03	1362	an artifact (or system of artifacts) that is instrumental in accomplishing some end
psychological_feature.n.01	1210	a feature of the mental life of a living organism
cognition.n.01	1196	the psychological result of perception and learning and reasoning
state.n.02	1156	the way something is with respect to its main attributes
relation.n.01	907	an abstraction belonging to or characteristic of two entities or parts together
matter.n.03	879	that which has mass and occupies space
message.n.02	735	what a communication that is about something is about
device.n.01	622	an instrumentality invented for a particular purpose
part.n.01	537	something determined in relation to something that includes it
condition.n.01	496	a state at a particular time
substance.n.01	469	the real physical matter of which a person or thing consists
process.n.02	445	(psychology) the performance of some composite cognitive activity; an operation that affects mental contents
worker.n.01	429	a person who works at a specific occupation
group.n.01	422	any number of entities (members) considered as a unit
content.n.05	381	the sum or range of what has been perceived, discovered, or learned
property.n.02	347	a basic or essential attribute shared by all members of a class
measure.n.02	334	how much there is or how many there are of something that you can quantify
feeling.n.01	318	the experiencing of affective and emotional states
material.n.01	307	the tangible substance that goes into the makeup of a physical object
substance.n.07	307	a particular kind or species of matter with uniform properties
statement.n.01	301	a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
auditory_communication.n.01	299	communication that relies on hearing
written_communication.n.01	287	communication by means of written symbols (either printed or handwritten)
communicator.n.01	283	a person who communicates with others
location.n.01	270	a point or extent in space
quality.n.01	260	an essential and distinguishing attribute of something or someone; --Shakespeare
shape.n.02	255	the spatial arrangement of something as distinct from its substance
structure.n.01	247	a thing constructed; a complex entity constructed of many parts
implement.n.01	244	instrumentation (a piece of equipment or tool) used to effect an end
writing.n.02	229	the work of a writer; anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)
higher_cognitive_process.n.01	228	cognitive processes that presuppose the availability of knowledge and put it to use
basic_cognitive_process.n.01	216	cognitive processes involved in obtaining and storing knowledge
thing.n.12	214	a separate and self-contained entity
bad_person.n.01	214	a person who does harm to others
possession.n.02	213	anything owned or possessed
social_group.n.01	212	people sharing some social relation
creation.n.02	210	an artifact that has been brought into existence by someone
idea.n.01	209	the content of cognition; the main thing you are thinking about
skilled_worker.n.01	207	a worker who has acquired special skills
covering.n.02	197	an artifact that covers something else (usually to protect or shelter or conceal it)
traveler.n.01	191	a person who changes location
physical_condition.n.01	182	the condition or state of the body or bodily functions
wrongdoer.n.01	179	a person who transgresses moral or civil law
part.n.03	169	a portion of a natural object
thinking.n.01	167	the process of using your mind to consider something carefully
information.n.02	164	knowledge acquired through study or experience or instruction
food.n.01	158	any substance that can be metabolized by an animal to give energy and build tissue
body_part.n.01	143	any part of an organism such as an organ or extremity
unwelcome_person.n.01	139	a person who for some reason is not wanted or welcome
contestant.n.01	133	a person who participates in competitions
utterance.n.01	131	the use of uttered sounds for auditory communication
animal.n.01	129	a living organism characterized by voluntary movement
container.n.01	128	any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
tool.n.01	127	an implement used in the practice of a vocation
natural_object.n.01	126	an object occurring naturally; not made by man
conveyance.n.03	122	something that serves as a means of transportation
chemical.n.01	122	material produced by or used in a reaction involving changes in atoms or molecules
organization.n.01	118	a group of people who work together
emotion.n.01	118	any strong feeling
creator.n.02	116	a person who grows or makes or invents things
transferred_property.n.01	114	a possession whose ownership changes or lapses
document.n.01	114	writing that provides information (especially information of an official nature)
agent.n.03	112	a substance that exerts some force or effect
vehicle.n.01	109	a conveyance that transports people or objects
equipment.n.01	109	an instrumentality needed for an undertaking or to perform a service
commodity.n.01	108	articles of commerce
signal.n.01	105	any nonverbal action or gesture that encodes a message
decoration.n.01	103	something used to beautify
indefinite_quantity.n.01	100	an estimated quantity
concept.n.01	100	an abstract or general idea inferred or derived from specific instances
ability.n.02	97	possession of the qualities (especially mental qualities) required to do something or get something done
unpleasant_person.n.01	97	a person who is not pleasant or agreeable
compound.n.02	95	(chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
