tolerance.n.03	the act of tolerating something	TOLERATE
allowance.n.06	the act of allowing	AUTHORIZE_ADMIT
license.n.04	the act of giving a formal (usually written) authorization	AUTHORIZE_ADMIT
authorization.n.04	the act of conferring legality or sanction or formal warrant	AUTHORIZE_ADMIT
management.n.01	the act of managing something	WATCH_LOOK-OUT
act.n.02	something that people do or cause to happen	CARRY-OUT-ACTION
abidance.n.03	the act of abiding (enduring without yielding)	TOLERATE
continuance.n.01	the act of continuing an activity without interruption	CONTINUE
adoption.n.01	the act of accepting with approval; favorable reception	AGREE_ACCEPT
blessing.n.01	the formal act of approving	APPROVE_PRAISE
support.n.02	aiding the cause or policy or interests of	FOLLOW_SUPPORT_SPONSOR_FUND
aid.n.02	the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose	HELP_HEAL_CARE_CURE
toleration.n.02	official recognition of the right of individuals to hold dissenting opinions (especially in religion)	TOLERATE
conformity.n.02	acting according to certain accepted standards	OBEY
cooperation.n.01	joint operation or action	ALLY_ASSOCIATE_MARRY
obedience.n.01	the act of obeying; dutiful or submissive behavior with respect to another person	OBEY
submission.n.02	the act of submitting; usually surrendering power to another	AGREE_ACCEPT
airlift.n.01	transportation of people or goods by air (especially when other means of access are unavailable)	CARRY_TRANSPORT
transportation.n.02	the act of moving something from one location to another	BRING
movement.n.11	the act of changing the location of something	MOVE-SOMETHING
change.n.03	the action of changing something	DIVERSIFY
action.n.01	something done (usually as opposed to something said)	CARRY-OUT-ACTION
airmail.n.02	a system of conveying mail by aircraft	CARRY_TRANSPORT
mail.n.02	the system whereby messages are transmitted via the post office	SEND
communication.n.01	the activity of communicating; the activity of conveying information	SPEAK
carry.n.01	the act of carrying something	CARRY_TRANSPORT
cartage.n.01	the work of taking something away in a cart or truck and disposing of it	CARRY_TRANSPORT
hauling.n.01	the activity of transporting goods by truck	CARRY_TRANSPORT
transportation.n.05	the commercial enterprise of moving goods and materials	CARRY_TRANSPORT
transaction.n.01	the act of transacting within or between groups (as carrying on commercial activities)	ALLY_ASSOCIATE_MARRY
delivery.n.01	the act of delivering or distributing something (as goods or mail)	CARRY_TRANSPORT
drive.n.08	a journey in a vehicle (usually an automobile)	MOVE-BY-MEANS-OF
journey.n.01	the act of traveling from one place to another	TRAVEL
travel.n.01	the act of going from one place to another	TRAVEL
motion.n.06	the act of changing location from one place to another	MOVE-SOMETHING
ferry.n.02	transport by boat or aircraft	CARRY_TRANSPORT
flight.n.02	an instance of traveling by air	FLY
freight.n.02	transporting goods commercially at rates cheaper than express rates	CARRY_TRANSPORT
draw.n.09	the act of drawing or hauling something	PULL
pull.n.01	the act of pulling; applying force to move something toward or with you	PULL
propulsion.n.02	the act of propelling	MOVE-SOMETHING
importing.n.01	the commercial activity of buying and bringing in goods from a foreign country	CARRY_TRANSPORT
lighterage.n.02	the transportation of goods on a lighter	CARRY_TRANSPORT
packing.n.03	carrying something in a pack on the back	CARRY_TRANSPORT
portage.n.03	carrying boats and supplies overland	CARRY_TRANSPORT
porterage.n.02	the transportation of burdens by porters	CARRY_TRANSPORT
rail_technology.n.01	the activity of designing and constructing and operating railroads	CARRY_TRANSPORT
technology.n.01	the practical application of science to commerce or industry	CREATE_MATERIALIZE
application.n.01	the act of bringing something to bear; using it for a particular purpose	APPLY
use.n.01	the act of using	USE
occupation.n.01	the principal activity in your life that you do to earn money	CAUSE-MENTAL-STATE
dispatch.n.02	the act of sending off something	CARRY_TRANSPORT
departure.n.01	the act of departing	LEAVE_DEPART_RUN-AWAY
smuggling.n.01	secretly importing prohibited goods or goods on which duty is due	CARRY_TRANSPORT
tide.n.01	the periodic rise and fall of the sea level under the gravitational pull of the moon	CARRY_TRANSPORT
